               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084312,            0.022202,            0.014157,             0.71714,             0.25716,             0.20472,            0.069758,            0.058929,            0.011986,           0.0050452,            0.070337,           0.0032959,           0.0032959
                   1,            0.059744,            0.014916,           0.0064316,             0.80752,             0.30838,             0.30823,             0.10127,            0.057172,           0.0080894,           0.0041036,            0.040009,           0.0063011,           0.0063011
                   2,            0.056062,             0.01178,            0.004444,             0.50613,             0.56638,             0.58466,             0.22825,            0.046182,           0.0068078,           0.0028358,           0.0093508,           0.0089763,           0.0089763
                   3,            0.050453,            0.010141,           0.0030174,             0.34145,             0.57709,             0.43336,             0.18345,            0.046255,           0.0066407,           0.0023644,            0.008515,            0.008515,            0.008515
                   4,            0.046857,           0.0093391,           0.0021648,             0.57417,             0.49135,             0.47914,             0.22189,            0.044745,           0.0063056,           0.0037084,            0.008515,            0.008515,            0.008515
                   5,            0.044384,           0.0089951,            0.002373,             0.69499,             0.66637,             0.73374,             0.31399,            0.041994,           0.0056927,           0.0010625,             0.00802,             0.00802,             0.00802
                   6,            0.042785,           0.0089932,           0.0017012,             0.48126,              0.5559,             0.49286,             0.23494,            0.041498,           0.0068535,           0.0015022,            0.007525,            0.007525,            0.007525
                   7,            0.041232,           0.0086301,           0.0013812,             0.70399,              0.7023,             0.70709,             0.37078,            0.037882,           0.0058908,           0.0010034,             0.00703,             0.00703,             0.00703
                   8,            0.040246,           0.0086196,           0.0012622,             0.82003,             0.72474,             0.77365,             0.40932,            0.038699,           0.0056568,           0.0006156,            0.006535,            0.006535,            0.006535
                   9,            0.039034,           0.0083289,           0.0010788,             0.91125,             0.79473,             0.86926,             0.45711,            0.036805,           0.0051007,          0.00042951,             0.00604,             0.00604,             0.00604
                  10,            0.037992,           0.0080867,          0.00098339,             0.81899,             0.78614,             0.85066,             0.45052,            0.036261,           0.0050375,           0.0006226,            0.005545,            0.005545,            0.005545
                  11,            0.036934,           0.0078009,          0.00072305,             0.87638,             0.78671,              0.8548,             0.46644,            0.036779,           0.0050901,          0.00029088,             0.00505,             0.00505,             0.00505
                  12,            0.036447,           0.0079658,          0.00070253,             0.81225,             0.81099,             0.86181,             0.48155,            0.036121,           0.0050641,          0.00068004,            0.004555,            0.004555,            0.004555
                  13,             0.03527,           0.0077463,          0.00053286,             0.82826,             0.81895,             0.88865,              0.4847,            0.035722,           0.0049756,          0.00040781,             0.00406,             0.00406,             0.00406
                  14,            0.034635,           0.0075941,          0.00060208,             0.80688,             0.82199,             0.87046,             0.49167,            0.035256,           0.0050862,          0.00064878,            0.003565,            0.003565,            0.003565
                  15,             0.03472,           0.0074577,          0.00053071,             0.88388,             0.85223,             0.91179,             0.51975,            0.034398,           0.0048168,          0.00026183,             0.00307,             0.00307,             0.00307
                  16,            0.033585,           0.0074872,          0.00040055,              0.8833,             0.86707,             0.92291,             0.50391,            0.033656,           0.0048423,          0.00018035,            0.002575,            0.002575,            0.002575
                  17,            0.033297,           0.0071662,          0.00031997,             0.86937,             0.89089,             0.90257,             0.52024,            0.034095,           0.0048307,          0.00020632,             0.00208,             0.00208,             0.00208
                  18,            0.032371,           0.0073041,           0.0002396,             0.85594,             0.87789,             0.91408,             0.53131,            0.033938,            0.004785,          0.00017678,            0.001585,            0.001585,            0.001585
                  19,            0.032022,           0.0072676,          0.00023858,             0.89848,              0.8773,              0.9206,               0.557,            0.033155,           0.0047732,          0.00019324,             0.00109,             0.00109,             0.00109
